1,302465.49 302466.757 302467.975 302469.194 302470.412 302471.631 302472.947 302474.165 302475.286 302476.407 302477.528 302478.698 302479.868 302481.135 302482.305 302483.474 302484.742 302485.716 302486.642 302487.739 302488.86 302489.981 302491.151 302492.101 302493.149 302494.246 302495.22 302496 302497.048 ,4123720.669 4123722.911 4123725.153 4123727.346 4123729.637 4123731.733 4123734.024 4123736.266 4123738.264 4123740.36 4123742.455 4123744.454 4123746.452 4123748.791 4123750.985 4123753.08 4123755.274 4123757.028 4123758.832 4123760.781 4123762.828 4123764.826 4123766.922 4123768.677 4123770.529 4123772.503 4123774.306 4123775.768 4123777.645 ,1,2,20,go
2,302498.504 302499.479 302500.454 302501.526 302502.598 302503.768 302504.889 302506.059 302507.228 302508.154 ,4123780.13 4123781.836 4123783.493 4123785.345 4123787.295 4123789.245 4123791.292 4123793.241 4123795.239 4123796.994 ,2,3,20,go
3,302509.172 302509.732 302510.512 302511.194 302511.926 302512.705 302513.461 302514.168 302514.923 302515.63 302516.239 302516.824 302517.409 302518.018 302518.505 ,4123798.968 4123800.211 4123801.575 4123802.891 4123804.232 4123805.572 4123806.912 4123808.301 4123809.569 4123810.909 4123811.981 4123813.053 4123814.101 4123815.149 4123816.027 ,3,4,20,go
4,302519.334 302519.992 302520.65 302521.283 302521.82 302522.404 302522.965 302523.55 302524.135 302524.866 302525.499 302526.109 302526.742 302527.351 302528.082 302528.838 302529.496 302530.251 302530.982 302531.738 302532.445 302533.151 302533.882 ,4123817.537 4123818.707 4123819.877 4123820.949 4123821.948 4123822.972 4123823.971 4123824.946 4123826.018 4123827.236 4123828.431 4123829.478 4123830.599 4123831.696 4123832.939 4123834.255 4123835.498 4123836.74 4123838.13 4123839.397 4123840.591 4123841.882 4123843.15 ,4,5,20,go
5,302534.662 302535.271 302535.978 302536.636 302537.367 302538.123 302538.927 302539.78 302540.584 302541.339 302542.07 302542.972 302543.728 302544.459 302545.19 ,4123844.685 4123845.952 4123847.292 4123848.657 4123849.997 4123851.313 4123852.776 4123854.213 4123855.749 4123857.04 4123858.429 4123859.94 4123861.232 4123862.548 4123863.864 ,5,6,20,go
6,302546.615 302547.541 302548.565 302549.491 302550.393 302551.221 302552.098 302553.073 302554.024 302555.023 302555.851 302556.582 302557.167 ,4123866.252 4123867.933 4123869.761 4123871.369 4123872.88 4123874.318 4123875.902 4123877.705 4123879.363 4123881.02 4123882.457 4123883.725 4123884.846 ,6,7,20,go
7,302557.996 302558.678 302559.287 302559.872 302560.628 302561.261 302561.968 302562.772 302563.552 302564.332 302565.039 302565.77 302566.403 302567.061 302567.865 302568.67 302569.523 302570.302 302570.887 302571.57 302572.179 302572.812 302573.446 302573.933 302574.421 302574.933 302575.42 302576.029 302576.614 302577.126 302577.784 302578.442 302579.124 302579.733 302580.318 302581.049 302581.805 302582.414 302582.95 302583.632 302584.144 302584.656 302585.29 302585.899 302586.654 302587.288 302587.921 302588.555 302589.311 302589.871 302590.31 302590.895 302591.504 302592.089 302592.527 302592.942 302593.38 302593.819 302594.282 302594.696 302595.062 302595.354 302595.549 302595.647 302595.915 302596.085 302596.28 302596.305 302596.378 302596.378 302596.451 ,4123886.417 4123887.612 4123888.757 4123889.854 4123891.243 4123892.461 4123893.753 4123895.19 4123896.653 4123898.066 4123899.333 4123900.625 4123901.843 4123903.111 4123904.548 4123905.937 4123907.619 4123909.008 4123910.226 4123911.469 4123912.639 4123913.833 4123915.052 4123916.148 4123917.147 4123918.171 4123919.121 4123920.413 4123921.534 4123922.679 4123923.995 4123925.555 4123926.871 4123928.138 4123929.551 4123931.111 4123932.671 4123933.962 4123935.254 4123936.765 4123938.154 4123939.372 4123940.81 4123942.516 4123944.197 4123946.025 4123947.56 4123949.169 4123951.045 4123952.751 4123954.238 4123955.943 4123957.917 4123959.94 4123961.5 4123963.01 4123964.521 4123966.203 4123967.763 4123969.322 4123971.125 4123973.051 4123974.903 4123976.56 4123978.509 4123980.581 4123982.506 4123983.944 4123985.601 4123987.063 4123988.452 ,7,8,10,static
8,302596.831 302597.165 302597.629 302598.067 302598.453 302598.891 302599.277 302599.56 302599.869 302600.101 302600.359 302600.487 302600.59 302600.745 ,4123990.926 4123992.394 4123994.068 4123995.767 4123997.364 4123998.883 4124000.583 4124002.514 4124004.214 4124005.707 4124007.433 4124008.978 4124010.471 4124011.965 ,8,9,20,go
9,302600.951 302601.067 302601.157 302601.286 302601.376 302601.492 302601.633 302601.813 302601.968 302602.2 302602.354 302602.509 302602.663 302602.843 302603.024 302603.204 302603.384 302603.513 302603.719 302603.899 302603.951 302603.977 302603.977 302603.977 302604.028 302604.028 302604.08 302604.08 302604.105 302604.131 302604.131 302604.183 302604.183 302604.234 302604.286 302604.286 302604.337 302604.363 302604.337 302604.002 302603.513 302602.689 302601.659 302600.912 302600.552 302600.5 302600.5 302600.5 302600.474 302600.217 302599.444 302598.801 302598.08 302597.513 302597.178 302596.998 302596.972 302596.921 302596.921 302596.869 302596.895 302596.869 302596.831 302596.818 302596.792 302596.792 302596.792 ,4124014.269 4124015.145 4124015.969 4124016.793 4124017.681 4124018.737 4124019.986 4124021.196 4124022.638 4124024.364 4124025.883 4124027.299 4124028.587 4124029.9 4124031.42 4124032.862 4124034.329 4124035.668 4124037.265 4124038.733 4124040.072 4124041.437 4124042.827 4124044.012 4124045.248 4124046.947 4124048.261 4124049.625 4124050.784 4124051.994 4124053.153 4124054.415 4124055.548 4124057.016 4124058.355 4124059.694 4124061.059 4124062.346 4124063.66 4124065.024 4124066.106 4124066.904 4124067.6 4124068.372 4124069.454 4124070.638 4124071.771 4124072.827 4124074.115 4124075.428 4124076.355 4124077.024 4124077.926 4124078.93 4124080.063 4124081.325 4124082.715 4124083.823 4124084.956 4124086.166 4124087.428 4124088.509 4124089.842 4124091.342 4124092.552 4124093.84 4124094.741 ,9,10,10,deliveryA
10,302596.779 302596.779 302596.792 302596.805 302596.818 302596.844 302596.856 302596.869 302596.882 302596.895 302596.895 302596.934 302596.921 302596.882 302596.882 302596.818 302596.779 302596.753 302596.728 302596.689 302596.638 302596.547 302596.38 302596.213 302596.058 302595.891 302595.723 302595.556 302595.17 302594.809 302594.436 302593.959 302593.406 302592.839 302592.389 302591.874 302591.204 302590.547 302589.904 302589.273 302588.565 302587.947 302587.264 302586.646 302586.002 302585.281 302584.522 302583.749 302583.002 302582.178 302581.535 302580.826 302580.17 302579.565 ,4124095.481 4124096.009 4124096.988 4124097.863 4124098.855 4124099.936 4124100.889 4124101.945 4124102.743 4124103.722 4124104.61 4124105.473 4124106.297 4124107.095 4124108.048 4124109.013 4124110.043 4124110.945 4124111.846 4124112.683 4124113.558 4124114.601 4124115.528 4124116.468 4124117.37 4124118.194 4124119.056 4124119.958 4124120.743 4124121.541 4124122.288 4124123.215 4124123.897 4124124.593 4124125.133 4124125.764 4124126.112 4124126.421 4124126.769 4124127.103 4124127.374 4124127.515 4124127.644 4124127.786 4124127.902 4124128.056 4124128.121 4124128.108 4124128.095 4124128.095 4124128.056 4124128.043 4124128.043 4124128.03 ,10,11,15,go
