1,302464.737 302465.762 302466.641 302467.569 302468.545 302469.619 302470.791 302471.621 302472.744 302473.769 ,4123719.097 4123720.952 4123722.514 4123724.174 4123726.03 4123727.983 4123729.887 4123731.644 4123733.549 4123735.306 ,1,2,10,go
2,302475.82 302476.943 302478.017 302479.189 302480.312 302481.484 302482.606 302483.778 302484.999 302486.171 302487.245 302488.368 302489.393 302490.565 302491.737 302492.86 302493.934 302495.154 302496.082 302497.058 ,4123739.066 4123741.019 4123743.069 4123745.12 4123747.268 4123749.221 4123751.321 4123753.322 4123755.666 4123757.766 4123759.621 4123761.72 4123763.576 4123765.724 4123767.677 4123769.728 4123771.68 4123773.731 4123775.538 4123777.246 ,2,3,5,diagonal_parking
3,302498.914 302499.988 302500.867 302501.965 302503.21 302504.333 302505.432 302506.433 302507.385 302508.361 ,4123780.469 4123782.422 4123784.057 4123786.01 4123788.281 4123790.307 4123792.309 4123794.14 4123795.849 4123797.655 ,3,4,20,go
4,302510.339 302511.169 302512.023 302512.853 302513.708 302514.513 302515.416 302516.271 302517.052 302517.882 ,4123801.17 4123802.782 4123804.246 4123805.833 4123807.347 4123808.811 4123810.52 4123812.009 4123813.401 4123814.939 ,4,5,20,go
5,302519.713 302520.836 302521.959 302523.18 302524.107 302525.23 302526.109 302526.695 302526.402 302525.67 302524.351 302523.131 ,4123818.064 4123820.017 4123822.067 4123824.24 4123826.413 4123828.512 4123830.66 4123833.004 4123835.396 4123837.301 4123839.009 4123840.23 ,5,6,10,go
6,302519.884 302517.907 302515.929 302513.903 302512.072 302510.412 302508.874 302507.312 302505.554 302503.821 302502.087 302500.427 302498.816 ,4123842.11 4123843.037 4123843.965 4123844.99 4123845.894 4123846.797 4123847.676 4123848.506 4123849.458 4123850.385 4123851.386 4123852.29 4123853.217 ,6,7,10,static
7,302495.545 302493.592 302491.688 302489.637 302487.684 302485.536 302483.485 302481.581 302479.726 302478.359 302477.187 302476.162 302474.892 ,4123855.146 4123856.318 4123857.343 4123857.978 4123858.417 4123858.515 4123858.075 4123857.294 4123856.025 4123854.365 4123852.705 4123851.191 4123849.14 ,7,8,15,go
8,302473.037 302472.158 302471.426 302470.596 302469.766 302468.984 302468.154 302467.178 302466.25 ,4123846.065 4123844.502 4123843.135 4123841.621 4123840.12 4123838.692 4123837.178 4123835.421 4123833.761 ,8,9,20,go
9,302464.786 302464.004 302463.37 302462.784 302462.344 302462.247 302462.393 302462.833 302463.516 302464.493 ,4123830.795 4123829.037 4123827.426 4123825.375 4123823.276 4123820.932 4123818.93 4123817.075 4123815.268 4123813.608 ,9,10,15,go
10,302467.569 302469.473 302471.523 302473.72 302475.722 302478.066 302480.361 302482.509 302484.608 302486.659 302489.198 302491.541 ,4123809.898 4123808.335 4123807.017 4123805.845 4123804.625 4123803.404 4123802.232 4123800.963 4123799.791 4123798.619 4123797.301 4123795.983 ,10,11,10,dynamic
11,302496.006 302496.823 302496.878 302496.278 302495.569 302494.643 ,4123793.477 4123791.678 4123789.443 4123787.317 4123785.409 4123783.555 ,11,12,15,go
12,302492.274 302491.102 302489.955 302488.856 302487.66 302486.634 302485.463 302484.315 302483.095 302481.947 302480.58 302479.067 302477.846 302476.308 302474.941 302473.769 302472.549 302471.328 302470.205 302469.033 302467.837 302466.69 302465.493 302464.273 302463.15 302461.905 302460.635 ,4123778.992 4123776.844 4123774.94 4123772.816 4123770.716 4123768.836 4123766.737 4123764.711 4123762.489 4123760.463 4123758.022 4123755.19 4123753.139 4123750.21 4123747.891 4123745.669 4123743.521 4123741.324 4123739.273 4123737.076 4123735.001 4123732.853 4123730.705 4123728.63 4123726.457 4123724.26 4123722.063 ,12,13,20,go
